dataset,model,test_accuracy,test_precision,test_recall,test_f1,test_pr_auc,test_roc_auc,test_brier_score,importance_stability_spearman,importance_stability_kendall,shap_lime_consistency,feature_agreement_top5,feature_agreement_top10,shap_fidelity,lime_fidelity,shap_complexity,lime_complexity
breast_cancer,XGBoost,0.9473684210526315,0.9459459459459459,0.9722222222222222,0.958904109589041,0.9956350010719586,0.9923941798941799,0.035178764071343925,0.980820743421216,0.9286331727015413,0.0,1.0,1.0,0.13480713963508606,0.23473893105983734,22.0,10.0
breast_cancer,LightGBM,0.9649122807017544,0.9594594594594594,0.9861111111111112,0.9726027397260274,0.9919951342960673,0.9877645502645502,0.03365796923935252,0.965917686318131,0.8813793103448277,0.0,1.0,0.8181818181818182,0.18965939200037407,0.18502154783824787,27.0,10.0
breast_cancer,MLP,0.956140350877193,0.9855072463768116,0.9444444444444444,0.9645390070921985,0.994509674369767,0.992063492063492,0.04031258765577348,0.9297460402057901,0.8094923101945565,0.0016349157771256007,0.6666666666666666,1.0,0.04220898076891899,0.10818300396203995,10.0,10.0
breast_cancer,Transformer,0.9473684210526315,0.9852941176470589,0.9305555555555556,0.9571428571428572,0.9910351600960129,0.9885912698412698,0.04555339222752829,0.9217797552836485,0.8050574712643677,0.027010855390810162,0.6666666666666666,1.0,0.04834998399019241,0.10547100752592087,10.0,10.0
breast_cancer,TabPFN,0.9649122807017544,0.9857142857142858,0.9583333333333334,0.971830985915493,0.9975243759981733,0.996031746031746,0.022745977666720055,,,,,,,,,
adult_income,XGBoost,0.8757293479373528,0.7964135021097046,0.6458511548331908,0.7132735002361833,0.8353742193776132,0.9302784649283817,0.0865958693183933,0.6676923076923076,0.5868131868131868,0.0,1.0,1.0,0.15070898830890656,0.10626143217086792,13.0,10.42
adult_income,LightGBM,0.8746033370867028,0.7909043387349712,0.6471343028229256,0.7118325099976476,0.8332339156740813,0.9294301701689188,0.08709279629200872,0.7441758241758243,0.6571428571428573,0.0,1.0,1.0,0.14969699649926563,0.11540784641005253,13.0,10.275
adult_income,MLP,0.8532091309243526,0.7497237569060774,0.5804106073567151,0.654291224686596,0.773300185257177,0.9043273105441462,0.10174268090582025,0.6848351648351649,0.5384615384615385,0.0,0.6666666666666666,0.8181818181818182,0.08173738420009613,0.248947411775589,4.0,10.27
adult_income,Transformer,0.8290510799467704,0.791958041958042,0.38751069289991447,0.5203905801263642,0.7312446093165994,0.8936585563517407,0.11464864068472376,0.6843956043956044,0.6395604395604396,0.0,1.0,1.0,0.10908734053373337,0.5245073437690735,4.0,10.39
adult_income,TabPFN,0.8616030299928344,0.7659115426105717,0.6073567151411463,0.6774809160305344,0.7883014364919623,0.9142092422801895,0.0974650269178799,,,,,,,,,
bank_marketing,XGBoost,0.9091009620701095,0.6586021505376344,0.46313799621928164,0.5438401775804661,0.6216013328994594,0.9308893210686864,0.062283010240553736,0.646764705882353,0.6099999999999999,0.0,1.0,1.0,0.19458580017089844,0.10450868308544159,15.0,10.915
bank_marketing,LightGBM,0.9067787238748203,0.645466847090663,0.45085066162570886,0.5308848080133556,0.6198878768478513,0.9314930049608612,0.06241656135968911,0.6214705882352941,0.5833333333333333,0.0,1.0,0.8181818181818182,0.2724464342442497,0.12188531650737724,15.0,10.62
bank_marketing,MLP,0.9033506579674887,0.6152882205513784,0.46408317580340264,0.5290948275862069,0.5699917708603696,0.9141255520452454,0.06741406691488809,0.655,0.5899999999999999,0.002631138098674435,1.0,1.0,0.0697840079665184,0.11951351165771484,4.0,10.955
bank_marketing,Transformer,0.9018024991706293,0.60625,0.45841209829867674,0.5220667384284177,0.5568261532346576,0.9037898327795618,0.06966631528382505,0.6429411764705881,0.57,0.0,1.0,0.8181818181818182,0.08785343170166016,0.12328870594501495,4.0,10.81
